Season,Team,TotalTeamPoints
2016-17,SAS,116.1
2016-17,TOR,116.6
2016-17,UTA,81.89999999999999
2016-17,WAS,117.2
2017-18,ATL,73.5
2017-18,BKN,95.9
2017-18,BOS,91.0
2017-18,CHA,104.0
2017-18,CHI,78.9
2017-18,CLE,124.6
2017-18,DAL,105.8
2017-18,DEN,107.0
2017-18,DET,71.6
2017-18,GSW,97.2
2017-18,HOU,96.9
2017-18,IND,109.3
2017-18,LAC,92.8
2017-18,LAL,82.60000000000001
2017-18,MEM,49.4
2017-18,MIA,101.5
2017-18,MIL,91.9
2017-18,MIN,115.7
2017-18,NOP,83.10000000000001
2017-18,NYK,72.5
2017-18,OKC,112.0
2017-18,ORL,50.0
2017-18,PHI,116.9
2017-18,PHX,84.8
2017-18,POR,110.39999999999999
2017-18,SAC,94.7
2017-18,SAS,91.8
2017-18,TOR,116.7
2017-18,UTA,88.2
2017-18,WAS,99.10000000000001
2018-19,ATL,97.6
2018-19,BKN,101.7
2018-19,BOS,115.1
2018-19,CHA,90.7
2018-19,CHI,57.3
2018-19,CLE,69.6
2018-19,DAL,97.9
2018-19,DEN,100.4
2018-19,DET,88.5
2018-19,GSW,119.4
2018-19,HOU,116.6
2018-19,IND,109.3
2018-19,LAC,122.10000000000001
2018-19,LAL,75.4
2018-19,MEM,64.0
2018-19,MIA,82.4
2018-19,MIL,129.0
2018-19,MIN,89.9
2018-19,NOP,86.7
2018-19,NYK,84.7
2018-19,OKC,122.7
2018-19,ORL,97.5
2018-19,PHI,127.4
2018-19,PHX,94.0
2018-19,POR,139.2
2018-19,SAC,126.6
2018-19,SAS,114.8
2018-19,TOR,132.8
2018-19,UTA,106.0
2018-19,WAS,84.3
2019-20,ATL,94.8
2019-20,BKN,76.9
2019-20,BOS,125.5
2019-20,CHA,95.2
2019-20,CHI,85.4
2019-20,CLE,114.60000000000001
2019-20,DAL,123.8
2019-20,DEN,106.8
2019-20,DET,72.10000000000001
2019-20,GSW,66.6
2019-20,HOU,110.2
2019-20,IND,104.7
2019-20,LAC,121.10000000000001
2019-20,LAL,110.8
2019-20,MEM,110.2
2019-20,MIA,127.0
2019-20,MIL,138.4
2019-20,MIN,65.7
2019-20,NOP,117.7
2019-20,NYK,84.9
2019-20,OKC,108.3
2019-20,ORL,107.6
2019-20,PHI,113.9
2019-20,PHX,95.8
2019-20,POR,113.1
2019-20,SAC,104.6
2019-20,SAS,121.5
2019-20,TOR,123.0
2019-20,UTA,108.7
2019-20,WAS,87.6
2020-21,ATL,99.10000000000001
2020-21,BKN,84.0
2020-21,BOS,83.7
2020-21,CHA,96.0
2020-21,CHI,132.2
2020-21,CLE,80.5
2020-21,DAL,96.6
2020-21,DEN,81.3
2020-21,DET,91.1
2020-21,GSW,114.1
2020-21,HOU,40.7
2020-21,IND,88.9
2020-21,LAC,104.6
2020-21,LAL,91.1
2020-21,MEM,107.3
2020-21,MIA,92.4
2020-21,MIL,130.4
2020-21,MIN,68.9
2020-21,NOP,106.3
2020-21,NYK,83.3
2020-21,OKC,63.0
2020-21,ORL,29.0
2020-21,PHI,129.5
2020-21,PHX,102.1
2020-21,POR,95.1
2020-21,SAC,104.0
2020-21,SAS,103.4
2020-21,TOR,97.8
2020-21,UTA,125.6
2020-21,WAS,121.9
2021-22,ATL,82.8
2021-22,BKN,57.3
2021-22,BOS,110.0
2021-22,CHA,112.2
2021-22,CHI,102.9
2021-22,CLE,107.7
2021-22,DAL,102.6
2021-22,DEN,116.1
2021-22,DET,67.7
2021-22,GSW,109.4
2021-22,HOU,112.4
2021-22,IND,40.0
2021-22,LAC,83.9
2021-22,LAL,75.5
2021-22,MEM,91.8
2021-22,MIA,87.39999999999999
2021-22,MIL,116.0
2021-22,MIN,129.3
2021-22,NOP,81.2
2021-22,NYK,94.7
2021-22,OKC,28.8
2021-22,ORL,103.4
2021-22,PHI,115.7
2021-22,PHX,136.0
2021-22,POR,23.7
2021-22,SAC,99.5
2021-22,SAS,97.9
2021-22,TOR,98.4
2021-22,UTA,124.6
2021-22,WAS,70.1
2022-23,ATL,129.3
2022-23,BKN,89.5
2022-23,BOS,129.70000000000002
2022-23,CHA,48.8
2022-23,CHI,118.2
2022-23,CLE,112.9
2022-23,DAL,113.5
2022-23,DEN,130.2
2022-23,DET,64.2
2022-23,GSW,88.6
2022-23,HOU,99.7
2022-23,IND,111.2
2022-23,LAC,93.0
2022-23,LAL,87.6
2022-23,MEM,128.0
2022-23,MIA,102.1
2022-23,MIL,112.7
2022-23,MIN,99.9
2022-23,NOP,98.1
2022-23,NYK,128.0
2022-23,OKC,99.8
2022-23,ORL,74.7
2022-23,PHI,132.9
2022-23,PHX,78.2
2022-23,POR,108.4
2022-23,SAC,124.8
2022-23,SAS,84.0
2022-23,TOR,118.0
2022-23,UTA,86.7
2022-23,WAS,101.0
2023-24,ATL,69.5
2023-24,BKN,113.2
2023-24,BOS,110.1
2023-24,CHA,73.6
2023-24,CHI,99.9
2023-24,CLE,69.5
2023-24,DAL,117.0
2023-24,DEN,119.7
2023-24,DET,96.3
2023-24,GSW,120.5
2023-24,HOU,111.2
2023-24,IND,137.1
2023-24,LAC,121.3
2023-24,LAL,125.8
2023-24,MEM,33.2
2023-24,MIA,100.8
2023-24,MIL,104.1
2023-24,MIN,111.5
2023-24,NOP,113.3
2023-24,NYK,87.7
2023-24,OKC,119.5
2023-24,ORL,102.5
2023-24,PHI,102.39999999999999
2023-24,PHX,113.5
2023-24,POR,51.0
2023-24,SAC,115.39999999999999
2023-24,SAS,116.6
2023-24,TOR,105.7
2023-24,UTA,60.3
2023-24,WAS,88.1
2024-25,ATL,94.0
2024-25,BKN,61.7
2024-25,BOS,119.3
2024-25,CHA,55.7
2024-25,CHI,111.2
2024-25,CLE,123.8
2024-25,DAL,47.8
2024-25,DEN,115.0
2024-25,DET,120.4
2024-25,GSW,83.7
2024-25,HOU,91.7
2024-25,IND,118.0
2024-25,LAC,96.2
2024-25,LAL,81.89999999999999
2024-25,MEM,106.4
2024-25,MIA,119.8
2024-25,MIL,123.5
2024-25,MIN,114.0
2024-25,NOP,15.399999999999999
2024-25,NYK,116.0
2024-25,OKC,101.3
2024-25,ORL,90.3
2024-25,PHI,62.8
2024-25,PHX,97.7
2024-25,POR,102.9
2024-25,SAC,126.3
2024-25,SAS,108.2
2024-25,TOR,71.2
2024-25,UTA,84.4
2024-25,WAS,84.7
