"Player","Team","GamesPlayed","Minutes","Points","ThreesMade","Season"
"Luc Mbah a Moute","HOU","61","25.6","7.5","1","2017-18"
"Jarrett Jack","NYK","62","25","7.5","0.4","2017-18"
"Ian Clark","NOP","74","19.6","7.4","0.8","2017-18"
"Pascal Siakam","TOR","81","20.7","7.3","0.4","2017-18"
"Nick Young","GSW","80","17.4","7.3","1.5","2017-18"
"Tomas Satoransky","WAS","73","22.5","7.2","0.6","2017-18"
"Kyle O'Quinn","NYK","77","18","7.1","0.1","2017-18"
"James Ennis III","DET","72","22.3","7.1","0.7","2017-18"
"Mason Plumlee","DEN","74","19.4","7.1","0","2017-18"
"Bryn Forbes","SAS","80","19","6.9","1.1","2017-18"
"Jakob Poeltl","TOR","82","18.6","6.9","0","2017-18"
"Bam Adebayo","MIA","69","19.8","6.9","0","2017-18"
"Raymond Felton","OKC","82","16.6","6.9","1","2017-18"
"Tony Snell","MIL","75","27.4","6.9","1.4","2017-18"
"Shelvin Mack","ORL","69","19.8","6.9","0.7","2017-18"
"David West","GSW","73","13.7","6.8","0","2017-18"
"Nemanja Bjelica","MIN","67","20.5","6.8","1.1","2017-18"
"Kosta Koufos","SAC","71","19.6","6.7","0","2017-18"
"Malik Monk","CHA","63","13.6","6.7","1.3","2017-18"
"Tyler Zeller","MIL","66","16.8","6.7","0.2","2017-18"
"Justin Jackson","SAC","68","22.1","6.7","0.8","2017-18"
"Isaiah Taylor","ATL","67","17.4","6.6","0.3","2017-18"
"Maurice Harkless","POR","59","21.4","6.5","0.8","2017-18"
"Dragan Bender","PHX","82","25.2","6.5","1.4","2017-18"
"Jodie Meeks","WAS","77","14.5","6.3","0.9","2017-18"
"Trevor Booker","IND","68","17","6.3","0.1","2017-18"
"T.J. McConnell","PHI","76","22.5","6.3","0.4","2017-18"
"P.J. Tucker","HOU","82","27.8","6.1","1.4","2017-18"
"Andre Iguodala","GSW","64","25.3","6","0.5","2017-18"
"Aron Baynes","BOS","81","18.3","6","0","2017-18"
"Gorgui Dieng","MIN","79","16.9","5.9","0.2","2017-18"
"Frank Ntilikina","NYK","78","21.9","5.9","0.6","2017-18"
"Davis Bertans","SAS","77","14.1","5.9","1.2","2017-18"
"OG Anunoby","TOR","74","20","5.9","1","2017-18"
"Quincy Acy","BKN","70","19.4","5.9","1.5","2017-18"
"Deyonta Davis","MEM","62","15.2","5.8","0","2017-18"
"Jonas Jerebko","UTA","74","15.3","5.8","0.9","2017-18"
"Dante Cunningham","BKN","73","21.4","5.7","0.8","2017-18"
"Bismack Biyombo","ORL","82","18.2","5.7","0","2017-18"
"Shaun Livingston","GSW","71","15.9","5.5","0","2017-18"
"Norman Powell","TOR","70","15.2","5.5","0.8","2017-18"
"Wesley Johnson","LAC","74","20.1","5.4","0.8","2017-18"
"Zaza Pachulia","GSW","69","14.1","5.4","0","2017-18"
"Pat Connaughton","POR","82","18.1","5.4","0.9","2017-18"
"Maxi Kleber","DAL","72","16.8","5.4","0.6","2017-18"
"Ed Davis","POR","78","18.9","5.3","0","2017-18"
"Corey Brewer","OKC","72","16.8","5.3","0.4","2017-18"
"Daniel Theis","BOS","63","14.9","5.3","0.3","2017-18"
"Tyus Jones","MIN","82","17.9","5.1","0.5","2017-18"
"Royce O'Neale","UTA","69","16.7","5","0.6","2017-18"
"Thon Maker","MIL","74","16.7","4.8","0.4","2017-18"
"JaVale McGee","GSW","65","9.5","4.8","0","2017-18"
"Ian Mahinmi","WAS","77","14.9","4.8","0","2017-18"
"Alex Abrines","OKC","75","15.1","4.7","1.1","2017-18"
"Amir Johnson","PHI","74","15.8","4.6","0.1","2017-18"
"Zach Collins","POR","66","15.8","4.4","0.5","2017-18"
"Treveon Graham","CHA","63","16.7","4.3","0.6","2017-18"
"Sam Dekker","LAC","73","12.1","4.2","0.1","2017-18"
"Lance Thomas","NYK","73","18.5","4.1","0.7","2017-18"
"Kevon Looney","GSW","66","13.8","4","0","2017-18"
"Cedi Osman","CLE","61","11","3.9","0.5","2017-18"
"Patrick Patterson","OKC","82","15.5","3.9","0.8","2017-18"
"Sindarius Thornwell","LAC","73","15.8","3.9","0.3","2017-18"
"Wes Iwundu","ORL","62","16.5","3.7","0.1","2017-18"
"Salah Mejri","DAL","61","12","3.5","0","2017-18"
"Malik Beasley","DEN","62","9.4","3.2","0.5","2017-18"
"Terrance Ferguson","OKC","61","12.5","3.1","0.7","2017-18"
"Tim Frazier","WAS","59","14.2","3","0.3","2017-18"
"Semi Ojeleye","BOS","73","15.8","2.7","0.5","2017-18"
"Ekpe Udoh","UTA","63","12.9","2.6","0","2017-18"
"Josh Huestis","OKC","69","14.2","2.3","0.5","2017-18"
"Brandon Paul","SAS","64","9","2.3","0.2","2017-18"
"Eric Moreland","DET","67","12","2.1","0","2017-18"
"Russell Westbrook","OKC","81","34.6","31.6","2.5","2016-17"
"James Harden","HOU","81","36.4","29.1","3.2","2016-17"
"Isaiah Thomas","BOS","76","33.8","28.9","3.2","2016-17"
"Anthony Davis","NOP","75","36.1","28","0.5","2016-17"
"DeMar DeRozan","TOR","74","35.4","27.3","0.4","2016-17"
"Damian Lillard","POR","75","35.9","27","2.9","2016-17"
"DeMarcus Cousins","NOP","72","34.2","27","1.8","2016-17"
"LeBron James","CLE","74","37.8","26.4","1.7","2016-17"
"Kawhi Leonard","SAS","74","33.4","25.5","2","2016-17"
"Stephen Curry","GSW","79","33.4","25.3","4.1","2016-17"
"Kyrie Irving","CLE","72","35.1","25.2","2.5","2016-17"
"Karl-Anthony Towns","MIN","82","37","25.1","1.2","2016-17"
"Kevin Durant","GSW","62","33.4","25.1","1.9","2016-17"
"Jimmy Butler III","CHI","76","37","23.9","1.2","2016-17"
"Paul George","IND","75","35.9","23.7","2.6","2016-17"
"Andrew Wiggins","MIN","82","37.2","23.6","1.3","2016-17"
"Kemba Walker","CHA","79","34.7","23.2","3","2016-17"
"John Wall","WAS","78","36.4","23.1","1.1","2016-17"
"Bradley Beal","WAS","77","34.9","23.1","2.9","2016-17"
"CJ McCollum","POR","80","35","23","2.3","2016-17"
"Giannis Antetokounmpo","MIL","80","35.6","22.9","0.6","2016-17"
"Carmelo Anthony","NYK","74","34.3","22.4","2","2016-17"
"Kyle Lowry","TOR","60","37.4","22.4","3.2","2016-17"
"Klay Thompson","GSW","78","34","22.3","3.4","2016-17"
"Devin Booker","PHX","78","35","22.1","1.9","2016-17"
"Gordon Hayward","UTA","73","34.5","21.9","2","2016-17"
"Blake Griffin","LAC","61","34","21.6","0.6","2016-17"
"Eric Bledsoe","PHX","66","33","21.1","1.6","2016-17"
"Brook Lopez","BKN","75","29.6","20.5","1.8","2016-17"
"Mike Conley","MEM","69","33.2","20.5","2.5","2016-17"
"Goran Dragic","MIA","73","33.7","20.3","1.6","2016-17"
"Marc Gasol","MEM","74","34.2","19.5","1.4","2016-17"
"Harrison Barnes","DAL","79","35.5","19.2","1","2016-17"
"Kevin Love","CLE","60","31.4","19","2.4","2016-17"
"Dwyane Wade","CHI","60","29.9","18.3","0.8","2016-17"
"Danilo Gallinari","DEN","63","33.9","18.2","2","2016-17"
"Kristaps Porziņģis","NYK","66","32.8","18.1","1.7","2016-17"
"Chris Paul","LAC","61","31.5","18.1","2","2016-17"
"Paul Millsap","ATL","69","34","18.1","1.1","2016-17"
"Derrick Rose","NYK","64","32.5","18","0.2","2016-17"
"Dennis Schröder","ATL","79","31.5","17.9","1.3","2016-17"
"Lou Williams","HOU","81","24.6","17.5","2","2016-17"
"LaMarcus Aldridge","SAS","72","32.4","17.3","0.3","2016-17"
"Evan Fournier","ORL","68","32.9","17.2","1.9","2016-17"
"Hassan Whiteside","MIA","77","32.6","17","0","2016-17"
"Nikola Jokić","DEN","73","27.9","16.7","0.6","2016-17"
"Eric Gordon","HOU","75","31","16.2","3.3","2016-17"
"Tobias Harris","DET","82","31.3","16.1","1.3","2016-17"
"Victor Oladipo","OKC","67","33.2","15.9","1.9","2016-17"
"Wilson Chandler","DEN","71","30.9","15.7","1.5","2016-17"
"D'Angelo Russell","LAL","63","28.7","15.6","2.1","2016-17"
"Jrue Holiday","NOP","67","32.7","15.4","1.5","2016-17"
"Jeff Teague","IND","82","32.4","15.3","1.1","2016-17"
"Nicolas Batum","CHA","77","34","15.1","1.8","2016-17"
"JJ Redick","LAC","78","28.2","15","2.6","2016-17"
"Serge Ibaka","TOR","79","30.7","14.8","1.6","2016-17"
"Jordan Clarkson","LAL","82","29.2","14.7","1.4","2016-17"
"Nikola Vučević","ORL","75","28.8","14.6","0.3","2016-17"
"Myles Turner","IND","81","31.4","14.5","0.5","2016-17"
"Tim Hardaway Jr.","ATL","79","27.3","14.5","1.9","2016-17"
"T.J. Warren","PHX","66","31","14.4","0.4","2016-17"
"Enes Freedom","OKC","72","21.3","14.3","0.1","2016-17"
"Zach Randolph","MEM","73","24.5","14.1","0.3","2016-17"
"Rudy Gobert","UTA","81","33.9","14","0","2016-17"
"Al Horford","BOS","68","32.3","14","1.3","2016-17"
"Marcus Morris Sr.","DET","79","32.5","14","1.5","2016-17"
"Markieff Morris","WAS","76","31.2","14","0.9","2016-17"
"Jae Crowder","BOS","72","32.4","13.9","2.2","2016-17"
"Kentavious Caldwell-Pope","DET","76","33.3","13.8","2","2016-17"
"Bojan Bogdanovic","WAS","81","25.7","13.7","1.8","2016-17"
"Tyler Johnson","MIA","73","29.8","13.7","1.3","2016-17"
"Will Barton","DEN","60","28.4","13.7","1.5","2016-17"
"Andre Drummond","DET","81","29.7","13.6","0","2016-17"
"Ryan Anderson","HOU","72","29.4","13.6","2.8","2016-17"
"Dwight Howard","ATL","74","29.7","13.5","0","2016-17"
"Wesley Matthews","DAL","73","34.2","13.5","2.4","2016-17"
"Otto Porter Jr.","WAS","80","32.6","13.4","1.9","2016-17"
"Darren Collison","SAC","68","30.3","13.2","1.1","2016-17"
"Nick Young","LAL","60","25.9","13.2","2.8","2016-17"
"Julius Randle","LAL","74","28.8","13.2","0.2","2016-17"
"Sean Kilpatrick","BKN","70","25.1","13.1","1.5","2016-17"
"Ersan Ilyasova","ATL","82","26.1","13.1","1.7","2016-17"
"Robert Covington","PHI","67","31.6","12.9","2","2016-17"
"Dario Šarić","PHI","81","26.3","12.8","1.3","2016-17"
"James Johnson","MIA","76","27.4","12.8","1.1","2016-17"
"Seth Curry","DAL","70","29","12.8","2","2016-17"
"Elfrid Payton","ORL","82","29.4","12.8","0.5","2016-17"
"Aaron Gordon","ORL","80","28.7","12.7","1","2016-17"
"DeAndre Jordan","LAC","81","31.7","12.7","0","2016-17"
"Rodney Hood","UTA","59","27","12.7","1.9","2016-17"
"Clint Capela","HOU","65","23.9","12.6","0","2016-17"
"Pau Gasol","SAS","64","25.4","12.4","0.9","2016-17"
"Jamal Crawford","LAC","82","26.3","12.3","1.4","2016-17"
"Austin Rivers","LAC","74","27.8","12","1.5","2016-17"
"Jonas Valančiūnas","TOR","80","25.8","12","0","2016-17"
"Greg Monroe","MIL","81","22.5","11.7","0","2016-17"
"Trevor Ariza","HOU","80","34.7","11.7","2.4","2016-17"
"Frank Kaminsky","CHA","75","26.1","11.7","1.5","2016-17"
"Steven Adams","OKC","80","29.9","11.3","0","2016-17"
"Marvin Williams","CHA","76","30.2","11.2","1.6","2016-17"
"Ricky Rubio","MIN","75","32.9","11.1","0.8","2016-17"
"Terrence Ross","ORL","78","25.1","11","1.8","2016-17"
"Thaddeus Young","IND","74","30.2","11","0.6","2016-17"
"Kent Bazemore","ATL","73","26.9","11","1.3","2016-17"
"Deron Williams","CLE","64","25.9","11","1.3","2016-17"
"Taj Gibson","OKC","78","25.5","10.8","0","2016-17"
"Courtney Lee","NYK","77","31.9","10.8","1.4","2016-17"
"Marcin Gortat","WAS","82","31.2","10.8","0","2016-17"
"CJ Miles","IND","76","23.4","10.7","2.2","2016-17"
"Allen Crabbe","POR","79","28.5","10.7","1.7","2016-17"
"Nikola Mirotic","CHI","70","24","10.6","1.8","2016-17"
"Marcus Smart","BOS","79","30.4","10.6","1.2","2016-17"
"Buddy Hield","SAC","82","23","10.6","1.8","2016-17"
"Marco Belinelli","CHA","74","24","10.5","1.4","2016-17"
"Wayne Ellington","MIA","62","24.2","10.5","2.4","2016-17"
"Mason Plumlee","DEN","81","26.5","10.4","0","2016-17"
"Robin Lopez","CHI","81","28","10.4","0","2016-17"
"Cody Zeller","CHA","62","27.8","10.3","0","2016-17"
"Jon Leuer","DET","75","25.9","10.2","0.7","2016-17"
"Malcolm Brogdon","MIL","75","26.4","10.2","1","2016-17"
"Draymond Green","GSW","76","32.5","10.2","1.1","2016-17"
"Jusuf Nurkić","POR","65","21.4","10.2","0","2016-17"
"Tony Parker","SAS","63","25.2","10.1","0.4","2016-17"
"Kyle Korver","CLE","67","26.2","10.1","2.4","2016-17"
"Maurice Harkless","POR","77","28.9","10","0.9","2016-17"
"Trevor Booker","BKN","71","24.7","10","0.4","2016-17"
"Gorgui Dieng","MIN","82","32.4","10","0.2","2016-17"
"Shabazz Muhammad","MIN","78","19.4","9.9","0.6","2016-17"
"Jamal Murray","DEN","82","21.5","9.9","1.4","2016-17"
"Ty Lawson","SAC","69","25.1","9.9","0.5","2016-17"
"Jeremy Lamb","CHA","62","18.4","9.7","0.7","2016-17"
"Kenneth Faried","DEN","61","21.2","9.6","0","2016-17"
"E'Twaun Moore","NOP","73","24.9","9.6","1.1","2016-17"
"Patrick Beverley","HOU","67","30.7","9.5","1.6","2016-17"
"Patty Mills","SAS","80","21.9","9.5","1.8","2016-17"
"Nik Stauskas","PHI","80","27.4","9.5","1.7","2016-17"
"Brandon Ingram","LAL","79","28.8","9.4","0.7","2016-17"
"Ish Smith","DET","81","24.1","9.4","0.3","2016-17"
"Cory Joseph","TOR","80","25","9.3","0.6","2016-17"
"Jeff Green","ORL","69","22.2","9.2","0.8","2016-17"
"Gerald Henderson","PHI","72","23.2","9.2","0.8","2016-17"
"Marquese Chriss","PHX","82","21.3","9.2","0.9","2016-17"
"Michael Kidd-Gilchrist","CHA","81","29","9.2","0","2016-17"
"Joe Johnson","UTA","78","23.6","9.2","1.4","2016-17"
"Jameer Nelson","DEN","75","27.3","9.2","1.4","2016-17"
"Channing Frye","CLE","74","18.9","9.1","1.9","2016-17"
"Nene","HOU","67","17.9","9.1","0","2016-17"
"Montrezl Harrell","HOU","58","18.3","9.1","0","2016-17"
"Tony Allen","MEM","71","27","9.1","0.2","2016-17"
"Kelly Olynyk","BOS","75","20.5","9","0.9","2016-17"
"Evan Turner","POR","65","25.5","9","0.5","2016-17"
"Doug McDermott","OKC","66","22.8","9","1.2","2016-17"
"JaMychal Green","MEM","77","27.3","8.9","0.7","2016-17"
"DeMarre Carroll","TOR","72","26.1","8.9","1.5","2016-17"
"Al-Farouq Aminu","POR","61","29.1","8.7","1.1","2016-17"
"Marreese Speights","LAC","82","15.7","8.7","1.3","2016-17"
"Rondae Hollis-Jefferson","BKN","78","22.6","8.7","0.2","2016-17"
"Tony Snell","MIL","80","29.2","8.5","1.8","2016-17"
"Monta Ellis","IND","74","27","8.5","0.6","2016-17"
"Arron Afflalo","SAC","61","25.9","8.4","1","2016-17"
"Norman Powell","TOR","76","18","8.4","0.7","2016-17"
"Troy Daniels","MEM","67","17.7","8.2","2.1","2016-17"
"Willy Hernangomez","NYK","72","18.4","8.2","0.1","2016-17"
"Willie Cauley-Stein","SAC","75","18.9","8.1","0","2016-17"
"Ben McLemore","SAC","61","19.3","8.1","1.1","2016-17"
"Al Jefferson","IND","66","14.1","8.1","0","2016-17"
"Tristan Thompson","CLE","78","29.9","8.1","0","2016-17"
"Vince Carter","MEM","73","24.7","8","1.5","2016-17"
"Alex Len","PHX","77","20.3","8","0","2016-17"
"Langston Galloway","SAC","74","20.2","7.9","1.6","2016-17"
"D.J. Augustin","ORL","78","19.7","7.9","1.2","2016-17"
"Rajon Rondo","CHI","69","26.7","7.8","0.7","2016-17"
"Sergio Rodriguez","PHI","68","22.3","7.8","1.4","2016-17"
"Garrett Temple","SAC","65","26.6","7.8","1.3","2016-17"
"Justin Holiday","NYK","82","20","7.7","1.2","2016-17"
"Matthew Dellavedova","MIL","76","26.1","7.6","1","2016-17"
"Andre Iguodala","GSW","76","26.3","7.6","0.8","2016-17"
"Manu Ginobili","SAS","69","18.7","7.5","1.3","2016-17"
"Iman Shumpert","CLE","76","25.5","7.5","1.2","2016-17"
"Isaiah Whitehead","BKN","73","22.5","7.4","0.6","2016-17"
"Spencer Dinwiddie","BKN","59","22.6","7.3","0.6","2016-17"
"Danny Green","SAS","68","26.6","7.3","1.7","2016-17"
"David Lee","SAS","79","18.7","7.3","0","2016-17"
"Tyler Ulis","PHX","61","18.4","7.3","0.3","2016-17"
"Thabo Sefolosha","ATL","62","25.7","7.2","0.7","2016-17"
"Tim Frazier","NOP","65","23.5","7.1","0.6","2016-17"
"Larry Nance Jr.","LAL","63","22.9","7.1","0.2","2016-17"
"Brandon Jennings","WAS","81","22.2","7.1","1","2016-17"
"Matt Barnes","GSW","74","24","7.1","1.2","2016-17"
"Justin Anderson","PHI","75","16.4","7.1","0.8","2016-17"
"Anthony Tolliver","SAC","65","22.7","7.1","1.4","2016-17"
"Joe Ingles","UTA","82","24","7.1","1.5","2016-17"
"Solomon Hill","NOP","80","29.7","7","1.2","2016-17"
"Justin Hamilton","BKN","64","18.4","6.9","0.9","2016-17"
"T.J. McConnell","PHI","81","26.3","6.9","0.1","2016-17"
"Patrick Patterson","TOR","65","24.6","6.8","1.4","2016-17"
"Ian Clark","GSW","77","14.8","6.8","0.8","2016-17"
"Bobby Portis","CHI","64","15.6","6.8","0.5","2016-17"
"Jared Dudley","PHX","64","21.3","6.8","1.2","2016-17"
"John Henson","MIL","58","19.4","6.8","0","2016-17"
"Raymond Felton","LAC","80","21.3","6.7","0.6","2016-17"
"Devin Harris","DAL","65","16.7","6.7","0.9","2016-17"
"James Ennis III","MEM","64","23.5","6.7","0.8","2016-17"
"Dwight Powell","DAL","77","17.3","6.7","0.3","2016-17"
"P.J. Tucker","TOR","81","27.6","6.7","0.9","2016-17"
"Kosta Koufos","SAC","71","20","6.6","0","2016-17"
"Andre Roberson","OKC","79","30.1","6.6","0.6","2016-17"
"Jaylen Brown","BOS","78","17.2","6.6","0.6","2016-17"
"Dante Cunningham","NOP","66","25","6.6","1.1","2016-17"
"Sam Dekker","HOU","77","18.4","6.5","0.8","2016-17"
"Amir Johnson","BOS","80","20.1","6.5","0.3","2016-17"
"Timothe Luwawu-Cabarrot","PHI","69","17.2","6.4","0.7","2016-17"
"Mirza Teletovic","MIL","70","16.2","6.4","1.5","2016-17"
"Rodney McGruder","MIA","78","25.2","6.4","0.9","2016-17"
"Kelly Oubre Jr.","WAS","79","20.3","6.3","0.7","2016-17"
"Kyle O'Quinn","NYK","79","15.6","6.3","0","2016-17"
"Leandro Barbosa","PHX","67","14.4","6.3","0.5","2016-17"
"Mindaugas Kuzminskas","NYK","68","14.9","6.3","0.8","2016-17"
"Danté Exum","UTA","66","18.6","6.2","0.7","2016-17"
"Mike Muscala","ATL","70","17.7","6.2","0.7","2016-17"
"Nemanja Bjelica","MIN","65","18.3","6.2","0.9","2016-17"
"Trey Lyles","UTA","71","16.3","6.2","0.9","2016-17"
"Jonathon Simmons","SAS","78","17.8","6.2","0.4","2016-17"
"JaVale McGee","GSW","77","9.6","6.1","0","2016-17"
"Zaza Pachulia","GSW","70","18.1","6.1","0","2016-17"
"Glenn Robinson III","IND","69","20.7","6.1","0.7","2016-17"
"Luc Mbah a Moute","LAC","80","22.3","6.1","0.5","2016-17"
"Alex Abrines","OKC","68","15.5","6","1.4","2016-17"
"Bismack Biyombo","ORL","81","22.1","6","0","2016-17"
"Domantas Sabonis","OKC","81","20.1","5.9","0.6","2016-17"
"Andrew Harrison","MEM","72","20.5","5.9","0.6","2016-17"
"Jerian Grant","CHI","63","16.3","5.9","0.8","2016-17"
"Tarik Black","LAL","67","16.3","5.7","0","2016-17"
"Taurean Prince","ATL","59","16.6","5.7","0.6","2016-17"
"Jason Smith","WAS","74","14.4","5.7","0.5","2016-17"
"Richard Jefferson","CLE","79","20.4","5.7","0.8","2016-17"
"Terry Rozier","BOS","74","17.1","5.5","0.8","2016-17"
"Jerami Grant","OKC","80","19.1","5.5","0.5","2016-17"
"Meyers Leonard","POR","74","16.5","5.4","1","2016-17"
"Joffrey Lauvergne","CHI","70","14","5.4","0.5","2016-17"
"Malcolm Delaney","ATL","73","17.1","5.4","0.4","2016-17"
"Willie Reed","MIA","71","14.5","5.3","0","2016-17"
"Randy Foye","BKN","69","18.6","5.2","1","2016-17"
"Shaun Livingston","GSW","76","17.7","5.1","0","2016-17"
"Dewayne Dedmon","SAS","76","17.5","5.1","0","2016-17"
"Aaron Brooks","IND","65","13.8","5","0.7","2016-17"
"Juancho Hernangomez","DEN","62","13.6","4.9","0.7","2016-17"
"Mario Hezonja","ORL","65","14.8","4.9","0.7","2016-17"
"Aron Baynes","DET","75","15.5","4.9","0","2016-17"
"Cristiano Felicio","CHI","66","15.8","4.8","0","2016-17"
"Luke Babbitt","MIA","68","15.7","4.8","1.3","2016-17"
"David West","GSW","68","12.6","4.6","0","2016-17"
"Boris Diaw","UTA","73","17.6","4.6","0.3","2016-17"
"C.J. Watson","ORL","62","16.3","4.5","0.5","2016-17"
"Corey Brewer","LAL","82","15.6","4.5","0.3","2016-17"
"Davis Bertans","SAS","67","12.1","4.5","1","2016-17"
"Noah Vonleh","POR","74","17.1","4.4","0.1","2016-17"
"Stanley Johnson","DET","77","17.8","4.4","0.6","2016-17"
"Dorian Finney-Smith","DAL","81","20.3","4.3","0.7","2016-17"
"Jason Terry","MIL","74","18.4","4.1","1","2016-17"
"Patrick McCaw","GSW","71","15.1","4","0.6","2016-17"
"Jonas Jerebko","BOS","78","15.8","3.8","0.6","2016-17"
"Kris Dunn","MIN","78","17.1","3.8","0.3","2016-17"
"Tyus Jones","MIN","60","12.9","3.5","0.4","2016-17"
"Kyle Anderson","SAS","72","14.2","3.4","0.2","2016-17"
"Salah Mejri","DAL","73","12.4","2.9","0","2016-17"
"Lavoy Allen","IND","61","14.3","2.9","0","2016-17"
"Semaj Christon","OKC","64","15.2","2.9","0.2","2016-17"
"Wesley Johnson","LAC","68","11.9","2.7","0.4","2016-17"
"DeAndre Liggins","DAL","62","12.5","2.5","0.3","2016-17"
"Cole Aldrich","MIN","62","8.6","1.7","0","2016-17"
"Stephen Curry","GSW","79","34.2","30.1","5.1","2015-16"
"James Harden","HOU","82","38.1","29","2.9","2015-16"
"Kevin Durant","OKC","72","35.8","28.2","2.6","2015-16"
"DeMarcus Cousins","SAC","65","34.6","26.9","1.1","2015-16"
"LeBron James","CLE","76","35.6","25.3","1.1","2015-16"
"Damian Lillard","POR","75","35.7","25.1","3.1","2015-16"
"Anthony Davis","NOP","61","35.5","24.3","0.6","2015-16"
"Russell Westbrook","OKC","80","34.4","23.5","1.3","2015-16"
"DeMar DeRozan","TOR","78","35.9","23.5","0.6","2015-16"
"Paul George","IND","81","34.8","23.1","2.6","2015-16"
"Isaiah Thomas","BOS","82","32.2","22.2","2","2015-16"
"Klay Thompson","GSW","80","33.3","22.1","3.5","2015-16"
"Carmelo Anthony","NYK","72","35.1","21.8","1.5","2015-16"
"Kyle Lowry","TOR","77","37","21.2","2.8","2015-16"
"Kawhi Leonard","SAS","72","33.1","21.2","1.8","2015-16"
"Jimmy Butler III","CHI","67","36.9","20.9","1","2015-16"
"Kemba Walker","CHA","81","35.6","20.9","2.2","2015-16"
"CJ McCollum","POR","80","34.8","20.8","2.5","2015-16"
"Andrew Wiggins","MIN","81","35.1","20.7","0.7","2015-16"
"Brook Lopez","BKN","73","33.7","20.6","0","2015-16"
"John Wall","WAS","77","36.2","19.9","1.5","2015-16"
"Gordon Hayward","UTA","80","36.2","19.7","1.8","2015-16"
"Chris Paul","LAC","74","32.7","19.5","1.6","2015-16"
"Dwyane Wade","MIA","74","30.5","19","0.1","2015-16"
"Reggie Jackson","DET","79","30.7","18.8","1.5","2015-16"
"Karl-Anthony Towns","MIN","82","32","18.3","0.4","2015-16"
"Dirk Nowitzki","DAL","75","31.5","18.3","1.7","2015-16"
"Nikola Vučević","ORL","65","31.3","18.2","0","2015-16"
"Khris Middleton","MIL","79","36.1","18.2","1.8","2015-16"
"LaMarcus Aldridge","SAS","74","30.6","18","0","2015-16"
"Kobe Bryant","LAL","66","28.2","17.6","2","2015-16"
"Rudy Gay","SAC","70","34","17.2","1.1","2015-16"
"Paul Millsap","ATL","81","32.7","17.1","0.9","2015-16"
"Ryan Anderson","NOP","66","30.4","17","2","2015-16"
"Giannis Antetokounmpo","MIL","80","35.3","16.9","0.4","2015-16"
"Jrue Holiday","NOP","65","28.2","16.8","1.3","2015-16"
"Pau Gasol","CHI","72","31.8","16.5","0.3","2015-16"
"Derrick Favors","UTA","62","32","16.4","0","2015-16"
"Derrick Rose","CHI","66","31.8","16.4","0.7","2015-16"
"JJ Redick","LAC","75","28","16.3","2.7","2015-16"
"Andre Drummond","DET","81","32.9","16.2","0","2015-16"
"Kevin Love","CLE","77","31.5","16","2.1","2015-16"
"Victor Oladipo","ORL","72","33","16","1.4","2015-16"
"Jeff Teague","ATL","79","28.5","15.7","1.4","2015-16"
"Jordan Clarkson","LAL","79","32.3","15.5","1.4","2015-16"
"Evan Fournier","ORL","79","32.5","15.4","2","2015-16"
"Lou Williams","LAL","67","28.5","15.3","1.6","2015-16"
"Greg Monroe","MIL","79","29.3","15.3","0","2015-16"
"Zach Randolph","MEM","68","29.6","15.3","0.1","2015-16"
"Al Horford","ATL","82","32.1","15.2","1.1","2015-16"
"Avery Bradley","BOS","76","33.4","15.2","1.9","2015-16"
"Thaddeus Young","BKN","73","33","15.1","0.1","2015-16"
"Nicolas Batum","CHA","70","35","14.9","2","2015-16"
"Tobias Harris","DET","76","33.1","14.7","1.1","2015-16"
"Rodney Hood","UTA","79","32.2","14.5","2","2015-16"
"Kentavious Caldwell-Pope","DET","76","36.7","14.5","1.5","2015-16"
"Will Barton","DEN","82","28.7","14.4","1.4","2015-16"
"Kristaps Porziņģis","NYK","72","28.4","14.3","1.1","2015-16"
"Hassan Whiteside","MIA","73","29.1","14.2","0","2015-16"
"Jae Crowder","BOS","73","31.6","14.2","1.7","2015-16"
"Jamal Crawford","LAC","79","26.9","14.2","1.5","2015-16"
"Goran Dragic","MIA","72","32.8","14.1","0.9","2015-16"
"Marcus Morris Sr.","DET","80","35.7","14.1","1.4","2015-16"
"Deron Williams","DAL","65","32.4","14.1","1.5","2015-16"
"Jabari Parker","MIL","76","31.7","14.1","0.1","2015-16"
"Zach LaVine","MIN","82","28","14","1.5","2015-16"
"Darren Collison","SAC","74","30","14","1.2","2015-16"
"Draymond Green","GSW","81","34.7","14","1.2","2015-16"
"Monta Ellis","IND","81","33.8","13.8","1.1","2015-16"
"Devin Booker","PHX","76","27.7","13.8","1.3","2015-16"
"Dwight Howard","HOU","71","32.1","13.7","0","2015-16"
"Chandler Parsons","DAL","61","29.5","13.7","1.7","2015-16"
"Marcin Gortat","WAS","75","30.1","13.5","0","2015-16"
"D'Angelo Russell","LAL","80","28.2","13.2","1.6","2015-16"
"Emmanuel Mudiay","DEN","68","30.4","12.8","1.1","2015-16"
"Robert Covington","PHI","67","28.4","12.8","2.5","2015-16"
"Arron Afflalo","NYK","71","33.4","12.8","1.3","2015-16"
"Jonas Valančiūnas","TOR","60","26","12.8","0","2015-16"
"DeAndre Jordan","LAC","77","33.7","12.7","0","2015-16"
"Enes Freedom","OKC","82","21","12.7","0.1","2015-16"
"Trevor Ariza","HOU","81","35.3","12.7","2.3","2015-16"
"Ish Smith","PHI","77","29.1","12.6","0.7","2015-16"
